predictions,references
Norlene is having trouble with her Hulu watchlist.,Customer is complaining that my watch list is not updating with the new episodes. Agent updated to recommend checking the show page for these shows as the new eps will be there.
"user: @AirbnbHelp hi, my Acc was linked to an old number. Now I’m asked to verify my Acc, where a code / call wil be sent to my old number. Any way that I can link my Acc to my current number? Pls help","Customer is enquiring that whether they can change the current number to link the account as they have old number which was linked. Agent states that they have updated to case manager, they will look into it and also to DM for further assistance."
user is having trouble with apps not being compatible with iOS 11.0.3.,Customer is complaining that they are unable to use some apps because of the new update ios11. Agent updates to DM through the given URL and they will work for it.
user: @115817 @UPSHelp FUCK YOU AND YOUR SHITTY PARCEL SERVICE YOUR DELIVERY DRIVERS ARE FUCKING LAZY CUNTS agent: @696741 We don't want to leave you feeling this way. Please provide more details so that we can help you. DM us. ML https://t.co/wKJHDXWGRQ user: @115817 @UPSHelp FUCK YOU AND YOUR SHITTY PARCEL SERVICE YOUR DELIVERY DRIVERS ARE FUCKING LAZY CUNTS agent: @696741 Surepost is a contracted service where we deliver the package from the shipper to USPS for them to do the final delivery. If you do want help we will need the tracking number to see what specifically is going on. LD https://t.co/wKJHDXWGR,Customer is frustrated that the delivery drivers are lazy and delivery is made on time. Agent updated that package will be deliver on time and asked customer to DM for further tracking.
user: @SW_Help @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @507897 @50,"Customer has been Stuck at Staines  waiting for a Reading train, and complaints that there is no information or advice being passed on to passengers on the platform. Agent updates that they have been informed  by engineers that the line is open again and the trains can now run between Wokingham and Reading."
Lynn is looking for a product in Sainsbury's.,"The customer asks whether the product is stocked at Leicester Fosse Park and adds that after walking for 15 minutes up and down aisle 7, 8 and 9 he didn't find the required stock there. The agent informs that the product is available in aisle 7 and asks to DM the customer's Nectar card number using the link provided to assist further."
user: @NikeSupport I’m having trouble with the Nike Run Club app.,Customer complaining that he updated the plan and it cut next weeks run by more than half and slowed his times even more. Agent asking is he complete all the workouts of previous week  and he will be assisting him better over phone please give a call.
user is angry with London Midland.,Customer is complaining for not responding to the tweets at the time of need. Agent states that he cannot respond unless it is standard working hours.
Spectrum is a telecommunications company that provides internet service.,Customer is complaining that other commercials are offering 100mb instead of 60mb for more money. Agent updates that the advertisements are package/product prices for new customers and requests to contact their billing specialist for further assistance.
CenturyLink agent: @116072 Why do you hate me?,Customer is complaining about the slowness in the available service at his location. Agent is requesting for the address in order to investigate further  via Direct message.
British Airways is experiencing an IT issue with its website.,"Customers has problem with desktop website to order meal in flight. Agent informs customer to DM full name,booking reference, email address and  mobile number to reach on."
Twitter users are complaining about T-Mobile customer service.,The customer is complaining that the issue was not resolved yet so he is asking them to call him and to fix it. The agent said that they have already dm and will absolutely call him.
"agent: @601573 Hi Bob, here is a link to show you to use the Red eye removal in Lightroom CC.",Customer wants to know how to remove red eye in Lightroom CC and about list of missing items. Agent states that they have released new version and requests to check an article by sharing an URL.
user is frustrated with British Airways for the delay in refunding her ticket. agent: @138844,Customer is complaining about the delayed refund with a holiday package booking. Agent states that they cannot speed up the refund process but will do it ASAP.
user: Since the last update volume on the Apple TV has gone down. So we have to turn it up more. This is on all our TVs agent: @128399 That's odd behavior! Which generation Apple TV do you have? Are you noticing lower volume on all content or a certain show/movie?,The customer says that the volume on his Apple TV has gone down after the last update. The agent asks which generation Apple Tv does the customer owns and whether audio is lower all throughout playback or decrease at certain point.
user is taking his son to Disney land tomorrow. He needs to get from Brighton to Exeter and then to Gatwick.,Customer is enquirer that he need to get from BTN to Exeter and then Gatwick so it will be possible. Agent updated that they cannot predict how much damage the storm is going to cause so the cannot guarantee their service will run.
user is on a train to Reading from Swindon. The line between Swindon and Reading is closed. The train will go via Chippenham and Berks and Hants line.,Customer is enquiring about the route to Reading from Swindon. Agent states that there is a diversion in the route and it adds more time to the journey.
user: I can't make my Xbox my home console.,Customer enquirers about xbox. Agent informs  customer to contact chat team through URL so they can take a deeper look into the account.
"user: @Tesco Is this ever gonna be fixed on iOS? It’s been like it for possibly a month or more...! https://t.co/9zlRFNsR75 agent: @645307 Hi Mike, again I'm sorry about this. Please can you uninstall and install the app. This should refresh and update all changes recently made. This also normally resolves issues such as these. Let me know how you get on. - Natalie","Customer is complaining about the technical issue for which he should login through the website not from the the iPad and iPhone. Agent says if anythings else to help, let them know."
