references,conversation_ids,predictions,prompts
Customer is complaining that my watch list is not updating with the new episodes. Agent updated to recommend checking the show page for these shows as the new eps will be there.,bbde6d8ec7c39c4551da1ff6024f997b,"
    Summarize the following conversation.
    
    customer: @hulu_support My watchlist is not updating with new episodes (past couple days). Any idea why?
agent: @658975 Apologies for the trouble, Norlene! We're looking into this. In the meantime, try navigating to the season / episode manually.
customer: @hulu_support Tried logging out/back in, that didn’t help
agent: @658975 Sorry! 😔 We assure you that our team is working hard to investigate, and we hope to have a fix ready soon!
customer: @hulu_support Thank you! Some shows updated overnight, but others did not...
agent: @658975 We definitely understand, Norlene. For now, we recommend checking the show page for these shows as the new eps will be there
customer: @hulu_support As of this morning, the problem seems to be resolved. Watchlist updated overnight with all new episodes. Thank you for your attention to this matter! I love Hulu 💚
agent: @658975 Awesome! That's what we love to hear. If you happen to need anything else, we'll be here to support! 💚
    
    Summary:
    
    customer: @hulu_support My watchlist is not updating with new episodes (past couple days). Any idea why?
    agent: @658975 Apologies for the trouble, Norlene! We're looking into this. In the meantime, try navigating to the season / episode manually.
    customer: @hulu_support Tried logging out/back in, that didn’t help
    agent: @658975 Sorry! 😔 We assure you that our team is working hard to investigate, and we hope to have a fix ready soon!
    customer: @hulu_support Thank you! Some shows updated overnight, but others did not...
    agent: @658975 We definitely understand, Norlene. For now, we recommend checking the show page for these shows as the new eps will be there
    customer: @","
    Summarize the following conversation.
    
    customer: @hulu_support My watchlist is not updating with new episodes (past couple days). Any idea why?
agent: @658975 Apologies for the trouble, Norlene! We're looking into this. In the meantime, try navigating to the season / episode manually.
customer: @hulu_support Tried logging out/back in, that didn’t help
agent: @658975 Sorry! 😔 We assure you that our team is working hard to investigate, and we hope to have a fix ready soon!
customer: @hulu_support Thank you! Some shows updated overnight, but others did not...
agent: @658975 We definitely understand, Norlene. For now, we recommend checking the show page for these shows as the new eps will be there
customer: @hulu_support As of this morning, the problem seems to be resolved. Watchlist updated overnight with all new episodes. Thank you for your attention to this matter! I love Hulu 💚
agent: @658975 Awesome! That's what we love to hear. If you happen to need anything else, we'll be here to support! 💚
    
    Summary:
    "
"Customer is enquiring that whether they can change the current number to link the account as they have old number which was linked. Agent states that they have updated to case manager, they will look into it and also to DM for further assistance.",1d1a6617ae65baa429c2232ccc908840,"
    Summarize the following conversation.
    
    customer: @AirbnbHelp hi , my Acc was linked to an old number. Now I’m asked to verify my Acc , where a code / call wil be sent to my old number. Any way that I can link my Acc to my current number? Pls help
agent: @637109 Hi there, we are here to help. We will have a specialist contact you about changing your phone number. Thank you.
customer: @AirbnbHelp Thanks. Hope to get in touch soon
agent: @637109 That is no problem. Please let us know if you have any further questions in the meantime.
customer: @AirbnbHelp Hi sorry , is it for my account : __email__
agent: @637109 Can you please delete this post as it does have personal info in it. We have updated your Case Manager https://t.co/WCQEFGIlXC
agent: @637109 who will be following up with you shortly. Feel free to DM us anytime with any other questions or concerns 2/2
customer: @AirbnbHelp Thank you
agent: @637109 That is no problem. Please do not hesitate to contact us with any further questions. Thank you.
    
    Summary:
    
    - The conversation was with an agent who was trying to help the customer.
    - The agent asked the customer to delete a tweet with personal information.
    - The agent asked the customer to DM them with any other questions or concerns.
    - The agent closed the conversation with a thank you.

    Summarize the following conversation.
    
    customer: @AirbnbHelp hi , my Acc was linked to an old number. Now I’m asked to verify my Acc , where a code / call wil be sent to my old number. Any way that I can link my Acc to my current number? Pls help
agent: @637109 Hi there, we are here to help. We will have a specialist contact you about changing your phone number. Thank you.
customer: @AirbnbHelp Thanks. Hope to get in touch soon
agent: @637109","
    Summarize the following conversation.
    
    customer: @AirbnbHelp hi , my Acc was linked to an old number. Now I’m asked to verify my Acc , where a code / call wil be sent to my old number. Any way that I can link my Acc to my current number? Pls help
agent: @637109 Hi there, we are here to help. We will have a specialist contact you about changing your phone number. Thank you.
customer: @AirbnbHelp Thanks. Hope to get in touch soon
agent: @637109 That is no problem. Please let us know if you have any further questions in the meantime.
customer: @AirbnbHelp Hi sorry , is it for my account : __email__
agent: @637109 Can you please delete this post as it does have personal info in it. We have updated your Case Manager https://t.co/WCQEFGIlXC
agent: @637109 who will be following up with you shortly. Feel free to DM us anytime with any other questions or concerns 2/2
customer: @AirbnbHelp Thank you
agent: @637109 That is no problem. Please do not hesitate to contact us with any further questions. Thank you.
    
    Summary:
    "
Customer is complaining that they are unable to use some apps because of the new update ios11. Agent updates to DM through the given URL and they will work for it.,9555f25de7b6c8dfb8204f56f8bc4dd0,"
    Summarize the following conversation.
    
    customer: @115858 the new update ios11 sucks. I can’t even use some apps on my phone.
agent: @368952 We want your iPhone to work properly, and we are here for you. Which apps are giving you trouble, and which iPhone?
customer: @AppleSupport 6s. Words with friends
customer: @AppleSupport Words pro
agent: @368952 Do you see app updates in App Store &gt; Updates? Also, are you using iOS 11.0.3?
customer: @AppleSupport I am using 11.0.3 and there are no updates for words pro that I can find
agent: @368952 Thanks for checking. Next, what happens in that app that makes it unusable?
customer: @AppleSupport It’s says it’s not compatible.
agent: @368952 Thanks for confirming this. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT
    
    Summary:
    
    @368952 Thanks for confirming this. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT
    
    Summary:
    
    @368952 Thanks for confirming this. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT
    
    Summary:
    
    @368952 Thanks for confirming this. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT
    
    Summary:
    
    @368952 Thanks for confirming this. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT
    
    Sum","
    Summarize the following conversation.
    
    customer: @115858 the new update ios11 sucks. I can’t even use some apps on my phone.
agent: @368952 We want your iPhone to work properly, and we are here for you. Which apps are giving you trouble, and which iPhone?
customer: @AppleSupport 6s. Words with friends
customer: @AppleSupport Words pro
agent: @368952 Do you see app updates in App Store &gt; Updates? Also, are you using iOS 11.0.3?
customer: @AppleSupport I am using 11.0.3 and there are no updates for words pro that I can find
agent: @368952 Thanks for checking. Next, what happens in that app that makes it unusable?
customer: @AppleSupport It’s says it’s not compatible.
agent: @368952 Thanks for confirming this. Send us a DM and we'll work from there: https://t.co/GDrqU22YpT
    
    Summary:
    "
Customer is frustrated that the delivery drivers are lazy and delivery is made on time. Agent updated that package will be deliver on time and asked customer to DM for further tracking.,54fe18905f0a19ee163a2b452e31e07d,"
    Summarize the following conversation.
    
    customer: @115817 @UPSHelp FUCK YOU AND YOUR SHITTY PARCEL SERVICE YOUR DELIVERY DRIVERS ARE FUCKING LAZY CUNTS
agent: @696741 We don't want to leave you feeling this way. Please provide more details so that we can help you. DM us. ^ML https://t.co/wKJHDXWGRQ
customer: @UPSHelp I’m not DM’ing you because you’re a useless company every week I get a delivery from you and the lazy driver just gives the post office the items and then the app tells me they are gonna deliver the next day then 20 mins later says they’re at the post office
agent: @696741 There is two service levels where we are required to deliver the packages from the shipper to the Post Office and they take care of the final delivery. One is Surepost and the other is Mail Innovations. ^LD https://t.co/wKJHDXWGRQ
customer: @UPSHelp Well isn’t that 3 service levels? And why did my app say you attempted to deliver my package when you clearly didn’t. Absolute joke
agent: @696741 1. Surepost 2. Mail Innovations. We will need the tracking number for that package to look into it further. If you DM us that information we can check into it for you. ^LD https://t.co/wKJHDXWGRQ
customer: @UPSHelp So surepost is where your shit company just gets your drivers to drop off everyone’s parcels at the post office? I didn’t trust your shit app and went to go collect my item today and they didn’t have it 20 mins later they did when on the app it said it was coming tomorrow
agent: @696741 Surepost is a contracted service where we deliver the package from the shipper to USPS for them to do the final delivery. If you do want help we will need the tracking number to see what specifically is going on. ^LD https://t.co/wKJHDXWGRQ
customer: @UPSHelp I don’t need you to track it you imbecile it’s at the post office I’m saying your delivery men are lazy cunts and don’t deliver to my house how hard is that to comprehend....
    
    Summary:
    
    Customer is complaining about his package not being delivered. He says it's at the post office and he wants us to track it. We need more information to help him.
    
    Outcome:
    
    Customer is unhappy with us and says we are lazy cunts.
    
    Action:
    
    We will need the tracking number to see what is going on.

","
    Summarize the following conversation.
    
    customer: @115817 @UPSHelp FUCK YOU AND YOUR SHITTY PARCEL SERVICE YOUR DELIVERY DRIVERS ARE FUCKING LAZY CUNTS
agent: @696741 We don't want to leave you feeling this way. Please provide more details so that we can help you. DM us. ^ML https://t.co/wKJHDXWGRQ
customer: @UPSHelp I’m not DM’ing you because you’re a useless company every week I get a delivery from you and the lazy driver just gives the post office the items and then the app tells me they are gonna deliver the next day then 20 mins later says they’re at the post office
agent: @696741 There is two service levels where we are required to deliver the packages from the shipper to the Post Office and they take care of the final delivery. One is Surepost and the other is Mail Innovations. ^LD https://t.co/wKJHDXWGRQ
customer: @UPSHelp Well isn’t that 3 service levels? And why did my app say you attempted to deliver my package when you clearly didn’t. Absolute joke
agent: @696741 1. Surepost 2. Mail Innovations. We will need the tracking number for that package to look into it further. If you DM us that information we can check into it for you. ^LD https://t.co/wKJHDXWGRQ
customer: @UPSHelp So surepost is where your shit company just gets your drivers to drop off everyone’s parcels at the post office? I didn’t trust your shit app and went to go collect my item today and they didn’t have it 20 mins later they did when on the app it said it was coming tomorrow
agent: @696741 Surepost is a contracted service where we deliver the package from the shipper to USPS for them to do the final delivery. If you do want help we will need the tracking number to see what specifically is going on. ^LD https://t.co/wKJHDXWGRQ
customer: @UPSHelp I don’t need you to track it you imbecile it’s at the post office I’m saying your delivery men are lazy cunts and don’t deliver to my house how hard is that to comprehend....
    
    Summary:
    "
"Customer has been Stuck at Staines  waiting for a Reading train, and complaints that there is no information or advice being passed on to passengers on the platform. Agent updates that they have been informed  by engineers that the line is open again and the trains can now run between Wokingham and Reading.",f6cc57227f74737de08efd03782d015e,"
    Summarize the following conversation.
    
    customer: Stuck at Staines waiting for a Reading train, why no information or advice being passed on to passengers on the platform? @SW_Help
agent: @507897 Hi, due to electric supply problems trains are not running to Reading. https://t.co/32WcR5jrvQ ^BK
customer: @SW_Help I know the reason, but I don't think it unreasonable to have announcements or staff giving updates. E.g the 8.42 was going to Wokingham it is now going to Reading. Why wasn't this announced?
agent: @507897 Hi, no trains are currently able to run to Reading. ^BK
customer: @SW_Help Yeah I can see it has changed back to Wokingham again.
customer: @SW_Help So what's the excuse for now terminating this train at Ascot. This is appalling!
customer: @SW_Help And you change your mind again and open the line.
agent: @507897 Hi Adrian, we have just been informed by @115793 engineers that the line is open again and trains can now run between Wokingham and Reading. Sorry for the confusion. ^MB
    
    Summary:
    
    The conversation was started by a passenger at Staines and he was complaining about the lack of information and advice being passed on to passengers on the platform.
    
    The agent replied that due to electric supply problems trains were not running to Reading.
    
    The passenger replied that he knew the reason, but he didn't think it was unreasonable to have announcements or staff giving updates.
    
    The agent replied that no trains were currently able to run to Reading.
    
    The passenger replied that he could see that it had changed back to Wokingham again.
    
    The passenger then asked what the excuse was for now terminating this train at Ascot.
    
    The passenger then asked what the excuse was for now terminating this train at Ascot.
    
    The agent replied that they had just been informed by the engineers that the line was open again and trains could now","
    Summarize the following conversation.
    
    customer: Stuck at Staines waiting for a Reading train, why no information or advice being passed on to passengers on the platform? @SW_Help
agent: @507897 Hi, due to electric supply problems trains are not running to Reading. https://t.co/32WcR5jrvQ ^BK
customer: @SW_Help I know the reason, but I don't think it unreasonable to have announcements or staff giving updates. E.g the 8.42 was going to Wokingham it is now going to Reading. Why wasn't this announced?
agent: @507897 Hi, no trains are currently able to run to Reading. ^BK
customer: @SW_Help Yeah I can see it has changed back to Wokingham again.
customer: @SW_Help So what's the excuse for now terminating this train at Ascot. This is appalling!
customer: @SW_Help And you change your mind again and open the line.
agent: @507897 Hi Adrian, we have just been informed by @115793 engineers that the line is open again and trains can now run between Wokingham and Reading. Sorry for the confusion. ^MB
    
    Summary:
    "
"The customer asks whether the product is stocked at Leicester Fosse Park and adds that after walking for 15 minutes up and down aisle 7, 8 and 9 he didn't find the required stock there. The agent informs that the product is available in aisle 7 and asks to DM the customer's Nectar card number using the link provided to assist further.",6cb96c1bfdcd36d7d04fd2908fecffe3,"
    Summarize the following conversation.
    
    customer: @sainsburys Do you stock this at Leicester Fosse Park? If so, which aisle? Thank you! https://t.co/X7ShJpBwfX
agent: @265508 Hi Lynn! This product will be available in aisle 7. If you struggle to locate it, one of our colleagues will be able to help! Dee
customer: @sainsburys Wonderful, thank you. In other news, our nectar card still comes up with Cybill... 😂
agent: @265508 Still comes up with Cybill? Could you explain what you mean Lynn? Thanks, Dee
customer: @sainsburys  https://t.co/dWpJEgyTWo
agent: @265508 That's a strange one Lynn. Does this happen every time? Dan
customer: @sainsburys Yep! Very weird
agent: @265508 Thanks Lynn. We'll look into this and get back to you ASAP! Dan
customer: @sainsburys Hi -After a good 15 minutes walking up and down aisle 7, then 8 &amp; 9, then asking cust services - turns out this store doesn't stock this 😑🤔😤
agent: @265508 Can you please DM me your Nectar card number using the link provided so we can look into this for you? Thanks, Gabby https://t.co/MdMtnTlX6H
customer: @sainsburys Done :)
    
    Summary:
    
    This conversation is between a customer and a Sainsbury's store.
    
    The customer is looking for a product in the store.
    
    The customer asks the store if they stock the product.
    
    The store says they do, and gives the location of the product.
    
    The customer thanks the store for the information.
    
    The store asks if the customer has any other questions.
    
    The customer says that the product is not in the store.
    
    The store asks the customer to send them a direct message with their Nectar card number.
    
    The customer sends the store their Nectar card number.
    
    The store says they will look into the issue and get back to the customer.
    
    The customer thanks the store for their help.
    
    The store asks if the customer has any other questions.
    
   ","
    Summarize the following conversation.
    
    customer: @sainsburys Do you stock this at Leicester Fosse Park? If so, which aisle? Thank you! https://t.co/X7ShJpBwfX
agent: @265508 Hi Lynn! This product will be available in aisle 7. If you struggle to locate it, one of our colleagues will be able to help! Dee
customer: @sainsburys Wonderful, thank you. In other news, our nectar card still comes up with Cybill... 😂
agent: @265508 Still comes up with Cybill? Could you explain what you mean Lynn? Thanks, Dee
customer: @sainsburys  https://t.co/dWpJEgyTWo
agent: @265508 That's a strange one Lynn. Does this happen every time? Dan
customer: @sainsburys Yep! Very weird
agent: @265508 Thanks Lynn. We'll look into this and get back to you ASAP! Dan
customer: @sainsburys Hi -After a good 15 minutes walking up and down aisle 7, then 8 &amp; 9, then asking cust services - turns out this store doesn't stock this 😑🤔😤
agent: @265508 Can you please DM me your Nectar card number using the link provided so we can look into this for you? Thanks, Gabby https://t.co/MdMtnTlX6H
customer: @sainsburys Done :)
    
    Summary:
    "
Customer complaining that he updated the plan and it cut next weeks run by more than half and slowed his times even more. Agent asking is he complete all the workouts of previous week  and he will be assisting him better over phone please give a call.,37bb8b5e805036bba6ed0882151d5492,"
    Summarize the following conversation.
    
    customer: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
agent: @791446 Let's figure this out. Did you complete all workouts in your previous week in your Coach plan?
customer: @NikeSupport Yes. I haven’t missed a workout. For example, today started week 5, I originally had a recovery run of 4.25 miles that was changed to 1.5 miles w/ a 2 min slower time. The mileage total for this week dropped from 12.5 miles to 6.25 after the app updated based on my new data.
agent: @791446 Got it. Can you tell us what device, operating system and version of the app you're using?
customer: @NikeSupport iPhone 7+ 
Version 11.1.2 
NRC App Version: 5.10.0 

Thanks!
agent: @791446 Thanks for that information. Mind passing us screenshots of what you're seeing?
customer: @NikeSupport Sorry, screenshots of what exactly?
agent: @791446 We'll be able to assist you better over the phone. Please give us a call at 1-800-379-6453 (8a-5p PT, M-F) when you get the chance.
    
    Summary:
    
    customer: @NikeSupport doing the 5K plan on the run app & I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times & it cut next week’s runs by more than half & slowed my times even more. Why?
    
    agent: @791446 Let's figure this out. Did you complete all workouts in your previous week in your Coach plan?
    
    customer: @NikeSupport Yes. I haven’t missed a workout. For example, today started week 5, I originally had a recovery run of 4.25 miles that was changed to 1.5 miles w/ a 2 min slower time. The mileage total for this week dropped from 12.5 miles to 6.25 after the app updated based on my new data.
","
    Summarize the following conversation.
    
    customer: @NikeSupport doing the 5K plan on the run app &amp; I’ve consistently done better/longer than the suggestions. This morning it asked to update plan using my new (improved) times &amp; it cut next week’s runs by more than half &amp; slowed my times even more. Why?
agent: @791446 Let's figure this out. Did you complete all workouts in your previous week in your Coach plan?
customer: @NikeSupport Yes. I haven’t missed a workout. For example, today started week 5, I originally had a recovery run of 4.25 miles that was changed to 1.5 miles w/ a 2 min slower time. The mileage total for this week dropped from 12.5 miles to 6.25 after the app updated based on my new data.
agent: @791446 Got it. Can you tell us what device, operating system and version of the app you're using?
customer: @NikeSupport iPhone 7+ 
Version 11.1.2 
NRC App Version: 5.10.0 

Thanks!
agent: @791446 Thanks for that information. Mind passing us screenshots of what you're seeing?
customer: @NikeSupport Sorry, screenshots of what exactly?
agent: @791446 We'll be able to assist you better over the phone. Please give us a call at 1-800-379-6453 (8a-5p PT, M-F) when you get the chance.
    
    Summary:
    "
Customer is complaining for not responding to the tweets at the time of need. Agent states that he cannot respond unless it is standard working hours.,18007aa71d2aa813646b4130b903453a,"
    Summarize the following conversation.
    
    customer: @LondonMidland you didn’t even. Ask me to pass on an apology to my friend for this farce https://t.co/DKEUdzjORN
agent: @267282 I'm sorry if your tweet was missed and for the problems yesterday evening.
customer: @LondonMidland You had Fucked off home leaving your passengers stranded for three hours it’s appalling
agent: @267282 I appreciate the frustration but I would ask you to not continue swearing at me thank you
customer: @LondonMidland ok explain why you LEFT for the day leaving your customers stranded?
agent: @267282 our standard hours currently are 7am - 7pm Monday to Friday. We work to those hours
customer: @LondonMidland So you don’t do overtime if it means your customers need help? Do you not care about your customers?
agent: @267282 at the current time, we are contracted to those hours any updates from then would be made at stations
agent: @267282 If you would like a full response as it's very difficult on here due to character limit please email us __email__
customer: @LondonMidland You cannot just be selfish and sod off home like this TOC tends to do. Its shocking really
    
    Summary:
    
    customer: @LondonMidland you didn’t even. Ask me to pass on an apology to my friend for this farce https://t.co/DKEUdzjORN
agent: @267282 I'm sorry if your tweet was missed and for the problems yesterday evening.
customer: @LondonMidland You had Fucked off home leaving your passengers stranded for three hours it’s appalling
agent: @267282 I appreciate the frustration but I would ask you to not continue swearing at me thank you
customer: @LondonMidland ok explain why you LEFT for the day leaving your customers stranded?
agent: @267282 our standard hours currently are 7am - 7pm Monday to Friday. We work to those hours
customer: @LondonMidland So you don’t do","
    Summarize the following conversation.
    
    customer: @LondonMidland you didn’t even. Ask me to pass on an apology to my friend for this farce https://t.co/DKEUdzjORN
agent: @267282 I'm sorry if your tweet was missed and for the problems yesterday evening.
customer: @LondonMidland You had Fucked off home leaving your passengers stranded for three hours it’s appalling
agent: @267282 I appreciate the frustration but I would ask you to not continue swearing at me thank you
customer: @LondonMidland ok explain why you LEFT for the day leaving your customers stranded?
agent: @267282 our standard hours currently are 7am - 7pm Monday to Friday. We work to those hours
customer: @LondonMidland So you don’t do overtime if it means your customers need help? Do you not care about your customers?
agent: @267282 at the current time, we are contracted to those hours any updates from then would be made at stations
agent: @267282 If you would like a full response as it's very difficult on here due to character limit please email us __email__
customer: @LondonMidland You cannot just be selfish and sod off home like this TOC tends to do. Its shocking really
    
    Summary:
    "
Customer is complaining that other commercials are offering 100mb instead of 60mb for more money. Agent updates that the advertisements are package/product prices for new customers and requests to contact their billing specialist for further assistance.,96582ff6b36a9f65cabfe79bed4401c9,"
    Summarize the following conversation.
    
    customer: @Ask_Spectrum if you have a commercial that says you have 100mbs for 44.99 honor it in all your markets you provide 100mbs at.
agent: @127318 Good morning. In some areas of our markets our network is not yet able to provide those speeds. We do not offer a... https://t.co/FtPfIhKYfd
customer: @Ask_Spectrum My area offered me 100mb for more money so now that this is the standard and they do offer 100mb shouldn’t I receive it right away
agent: @127318 I would be happy to take a look. If you upgraded to the 100 plan and are not receiving this we can investigate. H... https://t.co/FtPfIhKYfd
customer: @Ask_Spectrum I have the 60mb plan but I watch many commercials saying they offer 100mb for the same price. My area has 100mb so shouldn’t I be getting it
agent: @127318 I am sorry, the advertisements are package/product prices for new customers. If you would like to upgrade that sh... https://t.co/FtPfIhKYfd
customer: @Ask_Spectrum So you leave existing customers below your new standards is what your telling me, right?
agent: @127318 Hi William, In order to discuss this further we ask that you please contact our billing specialist at: 800-892-4357​​. Thank you. ^SS
customer: @Ask_Spectrum I’m good. I enjoy giving my hard earned money away. Thanks
    
    Summary:
    
    A customer called to ask about the 100mb plans and if they were available in all markets. The customer was told that the 100mb plan was only available to new customers and that current customers would not be able to receive it.
    
    Summarize the following conversation.
    
    customer: @Ask_Spectrum if you have a commercial that says you have 100mbs for 44.99 honor it in all your markets you provide 100mbs at.
agent: @127318 Good morning. In some areas of our markets our network is not yet able to provide those speeds. We do not offer a... https://t.co/FtPfIhKYfd
customer: @Ask_Spectrum My area offered me 100mb for more money so now that this is the standard","
    Summarize the following conversation.
    
    customer: @Ask_Spectrum if you have a commercial that says you have 100mbs for 44.99 honor it in all your markets you provide 100mbs at.
agent: @127318 Good morning. In some areas of our markets our network is not yet able to provide those speeds. We do not offer a... https://t.co/FtPfIhKYfd
customer: @Ask_Spectrum My area offered me 100mb for more money so now that this is the standard and they do offer 100mb shouldn’t I receive it right away
agent: @127318 I would be happy to take a look. If you upgraded to the 100 plan and are not receiving this we can investigate. H... https://t.co/FtPfIhKYfd
customer: @Ask_Spectrum I have the 60mb plan but I watch many commercials saying they offer 100mb for the same price. My area has 100mb so shouldn’t I be getting it
agent: @127318 I am sorry, the advertisements are package/product prices for new customers. If you would like to upgrade that sh... https://t.co/FtPfIhKYfd
customer: @Ask_Spectrum So you leave existing customers below your new standards is what your telling me, right?
agent: @127318 Hi William, In order to discuss this further we ask that you please contact our billing specialist at: 800-892-4357​​. Thank you. ^SS
customer: @Ask_Spectrum I’m good. I enjoy giving my hard earned money away. Thanks
    
    Summary:
    "
Customer is complaining about the slowness in the available service at his location. Agent is requesting for the address in order to investigate further  via Direct message.,1fbfbb7710a2c53a781ba3dd7f7c08c0,"
    Summarize the following conversation.
    
    customer: @116072 why do you hate me?
agent: @616965 I assure you we don't hate you. If there's anything I can help you with, please send a DM with your account number. -Scott
customer: @CenturyLinkHelp Scott, there isn’t anything that you could help me with. You guys only provide 3mbps to my house. That’s it.
customer: @CenturyLinkHelp I try to do school work and I can’t do it. I try to play Xbox with my friends and I can’t do it.
customer: @CenturyLinkHelp I can’t do anything with the service your company provides... but sadly it’s the only option for me...
agent: @616965 I apologize for that. I can double check what services we provide at the address. -Scott
customer: @CenturyLinkHelp Do you just need the address or still the account number?
agent: @616965 To double check the services, I would just need the address. You can send that in a DM, though, so it's not public. -Scott
customer: @CenturyLinkHelp Ok
customer: @CenturyLinkHelp I sent a message
    
    Summary:
    
    The customer is complaining about their internet speed. They are not happy with the service and are trying to find a solution.
    
    The customer is not happy with the service and is trying to find a solution.
    
    The customer is complaining about their internet speed.
    
    The customer is not happy with the service and is trying to find a solution.
    
    The customer is complaining about their internet speed. They are not happy with the service and are trying to find a solution.
    
    The customer is complaining about their internet speed. They are not happy with the service and are trying to find a solution.
    
    The customer is complaining about their internet speed. They are not happy with the service and are trying to find a solution.
    
    The customer is complaining about their internet speed. They are not happy with the service and are trying to find a solution.
    
","
    Summarize the following conversation.
    
    customer: @116072 why do you hate me?
agent: @616965 I assure you we don't hate you. If there's anything I can help you with, please send a DM with your account number. -Scott
customer: @CenturyLinkHelp Scott, there isn’t anything that you could help me with. You guys only provide 3mbps to my house. That’s it.
customer: @CenturyLinkHelp I try to do school work and I can’t do it. I try to play Xbox with my friends and I can’t do it.
customer: @CenturyLinkHelp I can’t do anything with the service your company provides... but sadly it’s the only option for me...
agent: @616965 I apologize for that. I can double check what services we provide at the address. -Scott
customer: @CenturyLinkHelp Do you just need the address or still the account number?
agent: @616965 To double check the services, I would just need the address. You can send that in a DM, though, so it's not public. -Scott
customer: @CenturyLinkHelp Ok
customer: @CenturyLinkHelp I sent a message
    
    Summary:
    "
